myid = 7	numprocs = 13
OMP_NUM_THREADS: 3
threads: 3
. . . 
file: '../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-15_ecc5E-2_frag_acc/rand08/tempread.dat' does not exist. Start the initialization.
-----
DIRECTORY	../data/Ntr3E3_t1E3_dtlog_Mtot3E-5_Mmax5E-15_ecc5E-2_frag_acc/
SUBDIRECTORY	rand
N_tr	3000
N_p	3
ECC_RATIO	5.0
STEP_INTERVAL	1.0E6
BREAK_TIME	14100.0
RAYLEIGH_DISTRIBUTION	1
FRAGMENTATION	1
COLLISION	1
COALESCENCE	1
ENERGY_FILE	1
ORBITALELEMENTS_FILE	1
POSI_VELO_FILE	0
POSI_VELO_ROT_FILE	0
COLLISION_FILE	1
EXECUTION_TIME	1
EXECUTION_TIME_FUNC	0
INTERACTION_ALL	0
INTERACTION_PLANET_TRACER	1
INTERACTION_TEST_PARTICLE	0
INDIRECT_TERM	1
EJECTION	0
ORBITING_SMALL_PARTICLE	1
ELIMINATE_PARTICLE	0
ETA	1.0E-2
ITE_MAX	2
PLANET_MASS	3.0E-6
PLANET_AXIS	1.0
PLANET_ECC	(0.01*5.0)
PLANET_INC	((0.01*5.0)*0.5)
PLANET_DENSITY	3.0
M_TOT	(3.0E-5*3)
ECC_RMS	(0.01*5.0)
INC_RMS	((0.01*5.0)*0.5)
DELTA_HILL	10.0
SEPARATE_HILL	5.0
DT_FRAGCHECK	2.0*3.14159265358979323846*0.1
GEOMETRIC_RATIO_FRAG	pow(10.0,1.0/8.0)
DELTA_R	0.01
DELTA_THETA	0.125*3.14159265358979323846
NEIGHBOR_MAX	200
DEPLETION_TIME_EXPLICIT	DEPLETION_TIME_EXPLICIT
RHO	3.0
EPSILON_FRAG	0.2
B_FRAG	(5.0/3.0)
Q_0_FRAG	9.5E8
P_FRAG	0.453
XI	0.01
M_MAX	5.00E-15
T_MAX	(2.0*3.14159265358979323846*1.0E3)
DT_LOG	1
DT_ENE	(2.0*3.14159265358979323846*1.0E-1)
GEOMETRIC_RATIO	pow(10.0,1.0/8.0)
GEOMETRIC_RATIO_LONGTERM	pow(10.0,1.0/128.0)
-----
alpha=1.67944	s_1=3.71665	s_2=12.6018	s_3=2.85931	h_0=3.58995e-05	Q_D=1.32959e-05
inner = 868,	center = 1057,	outer = 1075,	total = 3000
initial mass depletion timescale =1.387903e+01 [yr] (center)
-----
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
0.000000e+00	  3	  3000	     0	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
1.000000e+06	  3	  3000	    44	2.029394884770594e-03	4.216965034285821e-01	9.796469152290714e-02
2.000000e+06	  3	  3000	  2726	1.525352990746432e-03	9.999999999999994e-01	4.481005928057863e-02
3.000000e+06	  3	  3000	  2139	1.523207035429431e-03	1.333521432163323e+00	2.192071091740097e-01
4.000000e+06	  3	  3000	  1955	1.405951338071825e-03	1.778279410038922e+00	2.913002284049505e-01
5.000000e+06	  3	  3000	  2868	1.170679542450566e-03	2.371373705661654e+00	2.147113361915191e-01
6.000000e+06	  3	  3000	   710	1.358425635176199e-03	2.371373705661654e+00	7.177362484422528e-01
7.000000e+06	  3	  3000	  2590	1.475841374892760e-03	3.162277660168377e+00	4.246867964802513e-01
8.000000e+06	  3	  3000	   655	1.812994789126267e-03	3.162277660168377e+00	9.185274749136535e-01
9.000000e+06	  3	  3000	  2925	1.581051398971131e-03	4.216965034285820e+00	3.290288625858319e-01
1.000000e+07	  3	  3000	   681	1.551803691428890e-03	4.216965034285820e+00	7.834708895993976e-01
1.100000e+07	  3	  3000	   150	1.175032472416865e-03	4.216965034285820e+00	1.253317631167482e+00
1.200000e+07	  3	  3000	  2711	2.455751875652198e-03	5.623413251903486e+00	3.129806645183867e-01
1.300000e+07	  3	  3000	     3	8.683922908264426e-06	5.623413251903486e+00	7.869525842596546e-01
1.400000e+07	  3	  3000	     3	1.061912616386462e-05	5.623413251903486e+00	1.255767769424251e+00
1.500000e+07	  3	  3000	     3	9.834966698097255e-06	5.623413251903486e+00	1.717646208807789e+00
1.600000e+07	  3	  3000	   386	1.552155399214110e-03	7.498942093324552e+00	2.830911241157848e-01
1.700000e+07	  3	  3000	   963	1.452235892939635e-03	7.498942093324552e+00	7.514265952204475e-01
1.800000e+07	  3	  3000	  1377	1.456330053873763e-03	7.498942093324552e+00	1.206973586025585e+00
1.900000e+07	  3	  3000	  1181	1.058677992372573e-03	7.498942093324552e+00	1.664064283624941e+00
2.000000e+07	  3	  3000	  1904	2.159991795077308e-03	7.498942093324552e+00	2.117392597780577e+00
2.100000e+07	  3	  3000	  2876	1.112117403166315e-03	9.999999999999991e+00	7.511216244864703e-02
2.200000e+07	  3	  3000	     3	1.102662155264895e-05	9.999999999999991e+00	5.206554109422250e-01
2.300000e+07	  3	  3000	  2987	1.633163704426626e-03	9.999999999999991e+00	9.776133434834740e-01
2.400000e+07	  3	  3000	   696	1.788223381272496e-03	9.999999999999991e+00	1.402924833472202e+00
2.500000e+07	  3	  3000	   315	1.201132222652554e-03	9.999999999999991e+00	1.841337584639500e+00
2.600000e+07	  3	  3000	  2241	1.824954256624695e-03	9.999999999999991e+00	2.282062628023588e+00
2.700000e+07	  3	  3000	   144	1.087962904626090e-03	9.999999999999991e+00	2.724597016321599e+00
2.800000e+07	  3	  3000	   879	1.290126777915272e-03	9.999999999999991e+00	3.163278292066900e+00
2.900000e+07	  3	  3000	  1064	1.075794355227190e-03	1.333521432163323e+01	2.754725856457204e-01
3.000000e+07	  3	  3000	  2426	1.725741731012452e-03	1.333521432163323e+01	7.134244276096646e-01
3.100000e+07	  3	  3000	  1262	1.374944489671961e-03	1.333521432163323e+01	1.162257104285016e+00
3.200000e+07	  3	  3000	     2	7.476328332940303e-06	1.333521432163323e+01	1.606028256333443e+00
3.300000e+07	  3	  3000	  1982	1.835888907986430e-03	1.333521432163323e+01	2.052771908452133e+00
3.400000e+07	  3	  3000	  2748	1.382692817051242e-03	1.333521432163323e+01	2.496383168417061e+00
3.500000e+07	  3	  3000	   860	1.747098085437591e-03	1.333521432163323e+01	2.934261161863187e+00
3.600000e+07	  3	  3000	  1064	1.090192577791079e-03	1.333521432163323e+01	3.375556866210050e+00
3.700000e+07	  3	  3000	  3001	1.258054501222853e-03	1.333521432163323e+01	3.815426291514945e+00
3.800000e+07	  3	  3000	   259	1.485388045788667e-03	1.333521432163323e+01	4.255881817508825e+00
3.900000e+07	  3	  3000	  2548	2.193519115073339e-03	1.778279410038921e+01	2.505336980335667e-01
4.000000e+07	  3	  3000	  1367	1.282628969961813e-03	1.778279410038921e+01	6.944976384673548e-01
4.100000e+07	  3	  3000	  1967	1.313365262865544e-03	1.778279410038921e+01	1.134088814938700e+00
4.200000e+07	  3	  3000	  2216	1.373374015405549e-03	1.778279410038921e+01	1.577464989027844e+00
4.300000e+07	  3	  3000	   230	1.448195820710173e-03	1.778279410038921e+01	2.019081386213974e+00
4.400000e+07	  3	  3000	   974	1.749956700855208e-03	1.778279410038921e+01	2.460028064431812e+00
4.500000e+07	  3	  3000	   394	1.574291033376277e-03	1.778279410038921e+01	2.901398464948367e+00
4.600000e+07	  3	  3000	    31	1.296332336932327e-03	1.778279410038921e+01	3.343108899441640e+00
4.700000e+07	  3	  3000	  1370	1.586282236446605e-03	1.778279410038921e+01	3.788362110987781e+00
4.800000e+07	  3	  3000	     3	8.992903337200975e-06	1.778279410038921e+01	4.230165940697308e+00
4.900000e+07	  3	  3000	     2	8.589690399830276e-06	1.778279410038921e+01	4.670062030005454e+00
#step		Np	Ntr	i_sys	dt[i_sys]		t_tmp[yr]		t_sys[yr]
5.000000e+07	  3	  3000	   563	1.555429170849927e-03	1.778279410038921e+01	5.112062878668699e+00
5.100000e+07	  3	  3000	   770	1.692050465368783e-03	1.778279410038921e+01	5.556228776158094e+00
5.200000e+07	  3	  3000	  1781	2.377303494187743e-03	2.371373705661653e+01	7.803175870455768e-02
5.300000e+07	  3	  3000	  2783	1.473193151432290e-03	2.371373705661653e+01	5.322090928572775e-01
5.400000e+07	  3	  3000	     1	6.641402411724424e-06	2.371373705661653e+01	9.778296495501405e-01
5.500000e+07	  3	  3000	     1	6.720754200520956e-06	2.371373705661653e+01	1.417578894143779e+00
5.600000e+07	  3	  3000	  2562	2.058579969168035e-03	2.371373705661653e+01	1.862106567533046e+00
5.700000e+07	  3	  3000	  1154	1.237474999471026e-03	2.371373705661653e+01	2.304012713462717e+00
5.800000e+07	  3	  3000	  2783	1.262197754478213e-03	2.371373705661653e+01	2.745530824416008e+00
5.900000e+07	  3	  3000	  1427	1.005069664374758e-03	2.371373705661653e+01	3.186927557384494e+00
6.000000e+07	  3	  3000	     1	5.446934753647352e-06	2.371373705661653e+01	3.638541364445404e+00
6.100000e+07	  3	  3000	    41	1.842234990596407e-03	2.371373705661653e+01	4.085291385664402e+00
6.200000e+07	  3	  3000	  2866	1.043787255624300e-03	2.371373705661653e+01	4.525243628164831e+00
6.300000e+07	  3	  3000	  1123	1.490438491354613e-03	2.371373705661653e+01	4.977076499872871e+00
6.400000e+07	  3	  3000	   234	2.048524636090062e-03	2.371373705661653e+01	5.414741147492678e+00
6.500000e+07	  3	  3000	   143	1.213919138362844e-03	2.371373705661653e+01	5.862932256355863e+00
6.600000e+07	  3	  3000	     1	7.107787821775212e-06	2.371373705661653e+01	6.307438956339576e+00
6.700000e+07	  3	  3000	     1	6.684316665659847e-06	2.371373705661653e+01	6.758451428426019e+00
6.800000e+07	  3	  3000	   210	1.191381280734390e-03	2.371373705661653e+01	7.199970778232290e+00
6.900000e+07	  3	  3000	  1396	1.793328102194039e-03	2.371373705661653e+01	7.650358268589383e+00
7.000000e+07	  3	  3000	   659	1.787668513136872e-03	3.162277660168376e+01	1.855688385829472e-01
7.100000e+07	  3	  3000	  2788	1.317126199408737e-03	3.162277660168376e+01	6.264007448139227e-01
7.200000e+07	  3	  3000	   207	1.918959102248193e-03	3.162277660168376e+01	1.072788743785762e+00
7.300000e+07	  3	  3000	   488	1.827002985876965e-03	3.162277660168376e+01	1.510468775028394e+00
7.400000e+07	  3	  3000	  2981	1.369335561059434e-03	3.162277660168376e+01	1.962261492225636e+00
7.500000e+07	  3	  3000	   295	1.271906717466628e-03	3.162277660168376e+01	2.416996534219909e+00
7.600000e+07	  3	  3000	  1523	1.487875327146360e-03	3.162277660168376e+01	2.868904217117643e+00
7.700000e+07	  3	  3000	  1038	1.355889092137379e-03	3.162277660168376e+01	3.321068279808417e+00
7.800000e+07	  3	  3000	  1392	1.786567382338220e-03	3.162277660168376e+01	3.781859366358447e+00
7.900000e+07	  3	  3000	  2959	1.088194233999321e-03	3.162277660168376e+01	4.224938645346747e+00
8.000000e+07	  3	  3000	  1888	1.094093506044047e-03	3.162277660168376e+01	4.673710804308006e+00
8.100000e+07	  3	  3000	   384	1.842745191506598e-03	3.162277660168376e+01	5.113681561193498e+00
8.200000e+07	  3	  3000	  1745	1.302799100139480e-03	3.162277660168376e+01	5.569345540038714e+00
8.300000e+07	  3	  3000	  2099	1.457175072152226e-03	3.162277660168376e+01	6.013825124066400e+00
8.400000e+07	  3	  3000	   826	1.849936029492639e-03	3.162277660168376e+01	6.463944093648700e+00
